Ticker,Name,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
A,"Agilent Technologies, Inc.",96.84,0.007065436,0.097560976,0.124746113,30720.0084,43.34,0.315101602,0.923429364
AA,Alcoa Corp.,14.4,N/A,N/A,N/A,2645.69852,-4.17,N/A,1.579508469
AAC,"AAC Holdings, Inc.",0.48,N/A,N/A,N/A,12.10512,-0.14,N/A,2.218686792
AAL,"American Airlines Group, Inc.",13.625,0.01497006,N/A,N/A,6794.38832,-1.67,-0.024479505,1.426833132
AAME,Atlantic American Corp.,1.995,N/A,N/A,N/A,40.908,-19.37,N/A,0.336520989
AAN,"Aaron's, Inc.",54.67,0.002786266,N/A,N/A,3735.031578,-13.08,-0.037074244,1.536053906
AAOI,"Applied Optoelectronics, Inc.",10.525,N/A,N/A,N/A,249.3753,-2.68,N/A,1.076020007
AAON,"AAON, Inc.",56.535,0.006140351,N/A,N/A,2978.9169,42.29,0.262309825,0.886768267
AAP,"Advance Auto Parts, Inc.",153.75,0.00399536,3.166666667,0.330324997,10728.95898,23.58,0.095089108,1.011636605
AAPL,"Apple, Inc.",121.11,0.006473362,N/A,N/A,2067350.2,36.45,0.235813519,1.122675962
AAT,"American Assets Trust, Inc.",26.15,0.041474654,-0.285714286,-0.029665646,1564.324356,34.32,1.417508859,1.277771113
AAWW,"Atlas Air Worldwide Holdings, Inc.",55.695,N/A,N/A,N/A,1443.75264,-5.79,N/A,0.947716074
AAXN,"Axon Enterprise, Inc.",82.655,N/A,N/A,N/A,5366.227224,-151.16,N/A,1.164152253
ABBV,"AbbVie, Inc.",91.87,0.050179602,0.102803738,0.182666693,162134.9321,19.49,0.977834341,0.730746706
ABC,AmerisourceBergen Corp.,96.6,0.016806723,0.05,0.043167564,19920.17636,12.63,0.214502459,0.943612942
ABCB,Ameris Bancorp,25.21,0.024271845,N/A,N/A,1717.731,13.03,0.310029453,1.473874532
ABEO,"Abeona Therapeutics, Inc.",1.975,N/A,N/A,N/A,173.80146,-1.51,N/A,1.391463366
ABG,"Asbury Automotive Group, Inc.",106.32,N/A,N/A,N/A,2044.290612,12.9,N/A,1.386475267
ABIO,"ARCA biopharma, Inc.",4.315,N/A,N/A,N/A,28.05008,-1.43,N/A,0.480524335
ABM,"ABM Industries, Inc.",38.33,0.019332627,N/A,N/A,2517.311936,-107.46,-2.046537707,1.20188067
ABMD,"ABIOMED, Inc.",276,N/A,N/A,N/A,13244.35667,78.41,N/A,0.645856017
ABR,"Arbor Realty Trust, Inc.",11.32,0.105683837,0.068965517,0.156256233,1268.1575,19.79,2.08041958,1.340565358
ABT,Abbott Laboratories,104.16,0.01326637,0.125,0.084471771,186844.0309,59.55,0.800365882,0.901837862
ABTX,"Allegiance Bancshares, Inc. (Texas)",26.23,0.007864727,N/A,N/A,519.575588,13.75,0.104766894,1.287295046
AC,"Associated Capital Group, Inc.",38.56,0.005087764,N/A,N/A,879.040314,-40.84,-0.211841966,1.290787456
ACA,"Arcosa, Inc.",48.08,0.004223865,N/A,N/A,2288.894265,19.56,0.081347108,1.244109882
ACAD,"ACADIA Pharmaceuticals, Inc.",38.27,N/A,N/A,N/A,6098.44345,-26.09,N/A,0.843362796
ACBI,"Atlantic Capital Bancshares, Inc.",12.47,N/A,N/A,N/A,266.609402,14.3,N/A,1.443391902
ACC,"American Campus Communities, Inc.",35.82,0.053062377,0,0.032779415,4876.30176,44.59,2.340346072,1.357365553
ACCO,ACCO Brands Corp.,6.54,0.038173653,N/A,N/A,631.007496,7.46,0.290863465,0.970033595
ACER,"Acer Therapeutics, Inc.",2.32,N/A,N/A,N/A,30.377385,-1.17,N/A,1.496023801
ACGL,Arch Capital Group Ltd.,31.855,N/A,N/A,N/A,13039.82064,11.46,N/A,1.360185679
ACHC,"Acadia Healthcare Co., Inc.",29.83,N/A,N/A,N/A,2684.906358,24.72,N/A,1.531406468
ACHN,"Achillion Pharmaceuticals, Inc.",6.76,N/A,N/A,N/A,945.66316,-12.6,N/A,0.124386553
